class_id,date,observer,interaction_frequency,question_depth,student_participation,lecture_ratio,discussion_ratio,practice_ratio,teaching_style_label,notes
1,2024-09-15,张督导,3,3,3,0.55,0.30,0.15,混合型,课堂纪律良好
1,2024-10-20,李督导,2,2,2,0.65,0.20,0.15,讲授主导型,学生互动较少
1,2024-11-15,王督导,4,3,3,0.45,0.35,0.20,混合型,后半段讨论活跃
2,2024-09-18,张督导,4,4,4,0.35,0.35,0.30,互动讨论型,课堂氛围好
2,2024-10-22,李督导,5,5,4,0.30,0.30,0.40,实践驱动型,小组项目展示
2,2024-11-18,王督导,4,4,5,0.25,0.35,0.40,实践驱动型,学生主动性强
3,2024-09-20,赵督导,3,2,3,0.60,0.25,0.15,讲授主导型,内容偏理论
3,2024-10-25,赵督导,3,3,3,0.55,0.25,0.20,混合型,逐步加入案例
3,2024-11-20,赵督导,4,3,4,0.40,0.30,0.30,混合型,实践环节效果明显
4,2024-09-22,钱督导,2,2,2,0.70,0.20,0.10,讲授主导型,需要增加互动
4,2024-10-27,钱督导,3,2,3,0.60,0.25,0.15,讲授主导型,互动稍有改善
4,2024-11-22,钱督导,3,3,3,0.55,0.25,0.20,混合型,正在逐步调整
